表名,表类型,估计行数,表注释,疑似性质,stake,valid_bet,profit,n_bets,n_rounds,roi,roi_recent,roi_non_recent,roi_ex_rebate,roi_numerator,roi_denominator,roi_denominator_status,rebate_cost,cost_complement_b,pct_complement,pct_top_bet23,agent_formula_version,agent_level_scope,agent_cost_lv1,agent_cost_lv2,agent_cost_lv3,agent_cost_lv4,agent_cost_lv5,agent_pct_lv1,agent_pct_lv2,agent_pct_lv3,agent_pct_lv4,agent_pct_lv5,retain_pct_lv1,retain_pct_lv2,retain_pct_lv3,retain_pct_lv4,retain_pct_lv5,chain_depth_avg,agent_cost_chain_additive,agent_cost_chain_nested,residual_chain_additive,residual_chain_nested,decision_status,admit_to_risk_decision,deliverable_class,agent_cost_a_legacy,agent_cost_valid_base_legacy,ngr,residual_b,residual_a,ngr_rate,residual_b_rate,agent_cost_bet23_formal_canonical,net_margin_bet23_formal_canonical,net_margin_bet23_formal_rate_canonical,agent_cost_lv1_bet23_canonical,agent_cost_lv2_bet24_canonical,agent_cost_lv3_bet25_canonical,agent_cost_lv4_bet26_canonical,agent_cost_lv5_bet27_canonical,net_margin_lv1_bet23_canonical,net_margin_lv1_bet23_rate_canonical,agent_cost_chain_additive_canonical,agent_cost_chain_nested_canonical,net_margin_chain_additive_canonical,net_margin_chain_nested_canonical,net_margin_chain_additive_rate_canonical,net_margin_chain_nested_rate_canonical,residual_a_rate,avg_stake_per_bet,avg_valid_bet_per_round,avg_profit_per_round,avg_profit_per_day,avg_profit_per_shoe,avg_stake_per_active_day,avg_rounds_per_active_day,avg_stake_recent,avg_stake_non_recent,p25_stake,p50_stake,p75_stake,p90_stake,p95_stake,p99_stake,p50_valid_bet,p50_profit,p95_over_p50,p99_over_p50,avg_over_p50,common_table_count,common_dealer_count,common_ip_count,common_product_count,share_recent,hold_rate,hold_rate_recent,rebate_rate_actual,rebate_pct_config,turnover_multiple,free_comm_rate,roi_delta_recent,first_seen,last_seen,active_days,active_shoes,active_sessions,span_days,persistence,ramp_recent_vs_prior,ramp_recent_vs_all,stake_ramp,vip_tier,economic_value,roi_pr_global,risk_value,pr_stake,pr_global,pr_qualified,pr_qualified_population,pr_global_population_n,pr_qualified_population_n,pr_calculation_method,pr_calculation_version,evidence_flag,evidence_rate,hold_ci_halfwidth_approx,action_priority,audit_rn,batch_id,run_id,snapshot_sync_time
ods_a168_stream,BASE TABLE,1,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,115,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_subagent_permissionrole,BASE TABLE,22,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,116,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_symbol,BASE TABLE,28,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,117,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_tablelimit,BASE TABLE,116,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,118,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_tablelimit_third,BASE TABLE,43,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,119,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_temp_id_list,BASE TABLE,845,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,120,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_tip,BASE TABLE,19,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,121,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_urllist,BASE TABLE,105,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,122,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_wallet_dtl,BASE TABLE,121913412,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,123,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_wallet_feedbackerr,BASE TABLE,1390351,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,124,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_wallet_reporter,BASE TABLE,3100756,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,125,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_wallet_reporter_copy,BASE TABLE,182452,,副本,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,126,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_wechat_url,BASE TABLE,8,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,127,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_a168_white_list,BASE TABLE,6863,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,128,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_mariadb_2b_bet01_rt,BASE TABLE,0,,生产,13436093473.3333,12101545164.6445,225932201.2126,124713543,6048562,-0.01681532,-0.01652984,-0.01689755,-0.01742716,-225932201.2126,13436093473.3333,OK,8220755.8918,9199860.2962,4.0013,95.9987,AG03-UNRESOLVED,ALL5_LEVELS_bet23_to_bet27,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,4.001283,4.042136,4.252868,4.666985,4.496035,95.998717,95.957864,95.747132,95.333015,95.503965,4.9901,47394625.1681,43234853.3833,170316820.1526,174476591.9375,PENDING_AG03,FALSE,NOT_FOR_ENFORCEMENT,216732340.9164,11606300486.2161,217711445.3207,208511585.0246,979104.4043,0.01620348,0.01551877,9199860.2962,208511585.0246,0.01551877,9199860.2962,9381979.6473,9615816.7414,9858968.4371,9338000.0461,208511585.0246,0.01551877,47394625.1681,43234853.3833,170316820.1526,174476591.9375,0.01267607,0.01298566,0.00007287,107.7356,2000.7309,37.3530,1625411.5195,1831.5313,96662542.9736,43514.8345,113.5121,106.1793,5.1431,15.4907,52.3519,179.9896,345.4754,1499.125,12.8578,-2.2009,22.302166,96.776011,6.954874,30,300,1326575,23,0.22362557,0.01681532,0.01652984,0.00067931,0.040378,0.900674,0.077531,0.00036771,2026-03-21,2026-08-06,139,123357,4007,139,1.000000,1.069061,1.053617,0.745419,,,,,,,,GLOBAL_BASELINE_NO_ENTITY_RANKING,,,NOT_APPLICABLE_GLOBAL_BASELINE,HF9g-P5,,,,X 全窗基线 · 不参与实体赏罚,129,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
